graph_id,mode,repeat,period,obj,prob,beta,time_s,unique_edges_covered,%_covered,cooling_rate,max_iterations,no_improve_limit,max_cache_size,ltm_top_k,ltm_max_size,cache_hits,cache_misses,cache_accepts,cache_rejects,ltm_entries,ltm_seeded,ltm_promoted,ltm_pruned
1,exact_cache,0,0,5.255633,2.478126,48.0,2.863,9,55.49,0.99,1000,300,500,0,0,1537,46,1438,99,0,0,0,0
1,exact_cache,0,1,4.994508,2.630224,48.0,1.972,9,58.19,0.99,1000,300,500,0,0,995,32,917,78,0,0,0,0
1,exact_cache,0,2,4.999745,2.327855,47.0,2.447,9,60.47,0.99,1000,300,500,0,0,1019,43,946,73,0,0,0,0
1,exact_cache,0,3,5.210895,2.301632,46.0,2.245,8,56.97,0.99,1000,300,500,0,0,796,33,744,52,0,0,0,0
1,exact_cache,1,0,5.255633,2.478126,48.0,3.197,9,55.49,0.99,1000,300,500,0,0,1153,41,1064,89,0,0,0,0
1,exact_cache,1,1,4.962408,2.630224,46.0,2.429,8,57.82,0.99,1000,300,500,0,0,974,35,893,81,0,0,0,0
1,exact_cache,1,2,4.999745,2.327855,47.0,1.453,9,60.47,0.99,1000,300,500,0,0,664,35,599,65,0,0,0,0
1,exact_cache,1,3,5.210895,2.301632,46.0,2.043,8,56.97,0.99,1000,300,500,0,0,712,37,648,64,0,0,0,0
1,exact_cache,2,0,5.260493,2.777508,48.0,1.647,9,55.54,0.99,1000,300,500,0,0,678,29,619,59,0,0,0,0
1,exact_cache,2,1,4.962408,2.254653,45.0,1.369,8,57.82,0.99,1000,300,500,0,0,580,23,526,54,0,0,0,0
1,exact_cache,2,2,4.248815,2.239233,47.0,0.859,8,51.39,0.99,1000,300,500,0,0,566,62,525,41,0,0,0,0
1,exact_cache,2,3,5.210895,2.301632,46.0,2.451,8,56.97,0.99,1000,300,500,0,0,827,44,778,49,0,0,0,0
1,exact_cache,3,0,5.260493,2.777508,48.0,3.363,9,55.54,0.99,1000,300,500,0,0,1481,50,1380,101,0,0,0,0
1,exact_cache,3,1,4.962408,2.630224,46.0,2.739,8,57.82,0.99,1000,300,500,0,0,1050,15,969,81,0,0,0,0
1,exact_cache,3,2,4.999745,2.327855,47.0,2.021,9,60.47,0.99,1000,300,500,0,0,785,39,719,66,0,0,0,0
1,exact_cache,3,3,5.210895,2.301632,46.0,2.562,8,56.97,0.99,1000,300,500,0,0,844,32,786,58,0,0,0,0
1,exact_cache,4,0,5.255633,2.478126,48.0,3.253,9,55.49,0.99,1000,300,500,0,0,1084,20,1001,83,0,0,0,0
1,exact_cache,4,1,4.994508,2.630224,48.0,2.573,9,58.19,0.99,1000,300,500,0,0,1054,30,957,97,0,0,0,0
1,exact_cache,4,2,4.999745,2.327855,47.0,3.035,9,60.47,0.99,1000,300,500,0,0,1331,40,1232,99,0,0,0,0
1,exact_cache,4,3,4.644899,2.430422,45.0,1.621,7,50.78,0.99,1000,300,500,0,0,553,47,506,47,0,0,0,0
1,exact_cache,5,0,5.194357,2.51906,47.0,1.337,9,54.85,0.99,1000,300,500,0,0,697,46,649,48,0,0,0,0
1,exact_cache,5,1,4.994508,2.630224,48.0,2.53,9,58.19,0.99,1000,300,500,0,0,1051,22,980,71,0,0,0,0
1,exact_cache,5,2,4.999745,2.327855,47.0,2.997,9,60.47,0.99,1000,300,500,0,0,1361,49,1275,86,0,0,0,0
1,exact_cache,5,3,5.210895,2.301632,46.0,4.042,8,56.97,0.99,1000,300,500,0,0,1359,61,1294,65,0,0,0,0
1,exact_cache,6,0,5.255633,2.478126,48.0,2.272,9,55.49,0.99,1000,300,500,0,0,1093,63,1025,68,0,0,0,0
1,exact_cache,6,1,4.994508,2.630224,48.0,3.042,9,58.19,0.99,1000,300,500,0,0,1307,26,1232,75,0,0,0,0
1,exact_cache,6,2,4.999745,2.327855,47.0,2.217,9,60.47,0.99,1000,300,500,0,0,1228,122,1174,54,0,0,0,0
1,exact_cache,6,3,4.644899,2.430422,45.0,2.278,7,50.78,0.99,1000,300,500,0,0,632,71,605,27,0,0,0,0
1,exact_cache,7,0,5.255633,2.478126,48.0,2.122,9,55.49,0.99,1000,300,500,0,0,1023,39,947,76,0,0,0,0
1,exact_cache,7,1,4.962408,2.254653,45.0,1.279,8,57.82,0.99,1000,300,500,0,0,569,35,519,50,0,0,0,0
1,exact_cache,7,2,4.999745,2.327855,47.0,2.227,9,60.47,0.99,1000,300,500,0,0,951,32,871,80,0,0,0,0
1,exact_cache,7,3,4.894743,2.301632,46.0,2.177,9,53.51,0.99,1000,300,500,0,0,654,57,611,43,0,0,0,0
1,exact_cache,8,0,5.255633,2.478126,48.0,2.825,9,55.49,0.99,1000,300,500,0,0,1474,67,1393,81,0,0,0,0
1,exact_cache,8,1,4.937759,2.435854,48.0,1.549,9,57.53,0.99,1000,300,500,0,0,616,19,550,66,0,0,0,0
1,exact_cache,8,2,4.999745,2.327855,47.0,2.947,9,60.47,0.99,1000,300,500,0,0,1278,29,1189,89,0,0,0,0
1,exact_cache,8,3,5.210895,2.301632,46.0,2.629,8,56.97,0.99,1000,300,500,0,0,1097,23,1025,72,0,0,0,0
1,exact_cache,9,0,5.260493,2.777508,48.0,1.851,9,55.54,0.99,1000,300,500,0,0,834,49,770,64,0,0,0,0
1,exact_cache,9,1,4.962408,2.630224,46.0,2.879,8,57.82,0.99,1000,300,500,0,0,1171,55,1108,63,0,0,0,0
1,exact_cache,9,2,4.999745,2.327855,47.0,3.316,9,60.47,0.99,1000,300,500,0,0,1131,28,1042,89,0,0,0,0
1,exact_cache,9,3,4.644899,2.430422,45.0,2.86,7,50.78,0.99,1000,300,500,0,0,614,56,572,42,0,0,0,0
1,intelligent_memory,0,0,5.260493,2.777508,48.0,1.685,9,55.54,0.99,1000,300,500,20,100,709,45,643,66,3,0,3,0
1,intelligent_memory,0,1,4.994508,2.630224,48.0,3.376,9,58.19,0.99,1000,300,500,20,100,1051,34,988,63,5,3,5,0
1,intelligent_memory,0,2,4.999745,2.327855,47.0,3.502,9,60.47,0.99,1000,300,500,20,100,1347,30,1266,81,6,5,6,0
1,intelligent_memory,0,3,5.083642,2.779373,48.0,3.983,9,55.58,0.99,1000,300,500,20,100,853,24,800,53,6,6,6,0
1,intelligent_memory,1,0,5.255633,2.478126,48.0,5.887,9,55.49,0.99,1000,300,500,20,100,1504,68,1430,74,3,0,3,0
1,intelligent_memory,1,1,4.962408,2.254653,45.0,1.397,8,57.82,0.99,1000,300,500,20,100,628,16,563,65,6,3,6,0
1,intelligent_memory,1,2,4.696373,2.327855,47.0,3.002,9,56.8,0.99,1000,300,500,20,100,1176,17,1090,86,7,6,7,0
1,intelligent_memory,1,3,5.210895,2.301632,46.0,3.182,8,56.97,0.99,1000,300,500,20,100,1316,36,1251,65,10,7,10,0
1,intelligent_memory,2,0,5.260493,2.777508,48.0,3.668,9,55.54,0.99,1000,300,500,20,100,1458,46,1365,93,3,0,3,0
1,intelligent_memory,2,1,4.962408,2.254653,45.0,1.544,8,57.82,0.99,1000,300,500,20,100,687,23,627,60,6,3,6,0
1,intelligent_memory,2,2,4.999745,2.327855,47.0,1.99,9,60.47,0.99,1000,300,500,20,100,738,33,675,63,9,6,9,0
1,intelligent_memory,2,3,5.210895,2.301632,46.0,2.587,8,56.97,0.99,1000,300,500,20,100,1095,32,1024,71,12,9,12,0
1,intelligent_memory,3,0,5.260493,2.777508,48.0,1.506,9,55.54,0.99,1000,300,500,20,100,652,20,577,75,3,0,3,0
1,intelligent_memory,3,1,4.962408,2.254653,45.0,1.954,8,57.82,0.99,1000,300,500,20,100,860,16,788,72,6,3,6,0
1,intelligent_memory,3,2,4.999745,2.327855,47.0,1.916,9,60.47,0.99,1000,300,500,20,100,906,53,835,71,9,6,9,0
1,intelligent_memory,3,3,5.210895,2.301632,46.0,1.566,8,56.97,0.99,1000,300,500,20,100,665,19,618,47,12,9,12,0
1,intelligent_memory,4,0,5.255633,2.478126,48.0,2.376,9,55.49,0.99,1000,300,500,20,100,1098,72,1033,65,3,0,3,0
1,intelligent_memory,4,1,4.994508,2.630224,48.0,2.062,9,58.19,0.99,1000,300,500,20,100,855,21,786,69,6,3,6,0
1,intelligent_memory,4,2,4.999745,2.327855,47.0,1.676,9,60.47,0.99,1000,300,500,20,100,672,30,617,55,7,6,7,0
1,intelligent_memory,4,3,4.894743,2.301632,48.0,2.2,9,53.51,0.99,1000,300,500,20,100,732,24,689,43,9,7,9,0
1,intelligent_memory,5,0,5.255633,2.478126,48.0,1.658,9,55.49,0.99,1000,300,500,20,100,707,21,642,65,3,0,3,0
1,intelligent_memory,5,1,4.962408,2.254653,45.0,1.591,8,57.82,0.99,1000,300,500,20,100,589,37,530,59,6,3,6,0
1,intelligent_memory,5,2,4.999745,2.327855,47.0,1.81,9,60.47,0.99,1000,300,500,20,100,851,29,782,69,9,6,9,0
1,intelligent_memory,5,3,5.210895,2.301632,46.0,2.654,8,56.97,0.99,1000,300,500,20,100,1004,20,941,63,12,9,12,0
1,intelligent_memory,6,0,5.260493,2.777508,48.0,3.258,9,55.54,0.99,1000,300,500,20,100,1482,88,1398,84,3,0,3,0
1,intelligent_memory,6,1,4.962408,2.254653,45.0,2.118,8,57.82,0.99,1000,300,500,20,100,805,11,729,76,6,3,6,0
1,intelligent_memory,6,2,4.999745,2.327855,47.0,3.462,9,60.47,0.99,1000,300,500,20,100,1302,31,1216,86,9,6,9,0
1,intelligent_memory,6,3,5.210895,2.301632,46.0,3.096,8,56.97,0.99,1000,300,500,20,100,1112,30,1047,65,12,9,12,0
1,intelligent_memory,7,0,5.260493,2.777508,48.0,2.646,9,55.54,0.99,1000,300,500,20,100,1271,87,1201,70,3,0,3,0
1,intelligent_memory,7,1,4.962408,2.630224,46.0,2.597,8,57.82,0.99,1000,300,500,20,100,809,17,727,82,6,3,6,0
1,intelligent_memory,7,2,4.999745,2.327855,47.0,1.695,9,60.47,0.99,1000,300,500,20,100,691,22,625,66,6,6,7,1
1,intelligent_memory,7,3,4.894743,2.301632,48.0,2.088,9,53.51,0.99,1000,300,500,20,100,885,19,826,59,8,6,9,1
1,intelligent_memory,8,0,5.250516,1.981232,46.0,1.729,9,55.44,0.99,1000,300,500,20,100,787,33,723,64,3,0,3,0
1,intelligent_memory,8,1,4.962408,2.254653,45.0,1.531,8,57.82,0.99,1000,300,500,20,100,584,23,526,58,6,3,6,0
1,intelligent_memory,8,2,4.999745,2.327855,47.0,1.892,9,60.47,0.99,1000,300,500,20,100,883,35,821,62,9,6,9,0
1,intelligent_memory,8,3,5.210895,2.301632,46.0,2.008,8,56.97,0.99,1000,300,500,20,100,710,23,665,45,10,9,10,0
1,intelligent_memory,9,0,5.255633,2.478126,48.0,1.733,9,55.49,0.99,1000,300,500,20,100,749,22,669,80,3,0,3,0
1,intelligent_memory,9,1,4.962408,2.254653,45.0,1.702,8,57.82,0.99,1000,300,500,20,100,592,31,530,62,6,3,6,0
1,intelligent_memory,9,2,4.999745,2.327855,47.0,1.643,9,60.47,0.99,1000,300,500,20,100,669,26,605,64,9,6,9,0
1,intelligent_memory,9,3,5.210895,2.301632,46.0,3.595,8,56.97,0.99,1000,300,500,20,100,1001,43,941,60,12,9,12,0
1,baseline,0,0,5.250516,1.981232,48.0,2.898,9,55.44,0.99,1000,300,0,0,0,0,0,0,0,0,0,0,0
1,baseline,0,1,4.962408,2.254653,45.0,1.654,8,57.82,0.99,1000,300,0,0,0,0,0,0,0,0,0,0,0
1,baseline,0,2,4.999745,2.327855,47.0,1.461,9,60.47,0.99,1000,300,0,0,0,0,0,0,0,0,0,0,0
1,baseline,0,3,5.210895,2.301632,46.0,3.599,8,56.97,0.99,1000,300,0,0,0,0,0,0,0,0,0,0,0
1,baseline,1,0,5.250516,1.981232,46.0,2.231,9,55.44,0.99,1000,300,0,0,0,0,0,0,0,0,0,0,0
1,baseline,1,1,4.962408,2.254653,45.0,1.511,8,57.82,0.99,1000,300,0,0,0,0,0,0,0,0,0,0,0
1,baseline,1,2,4.999745,2.327855,47.0,2.382,9,60.47,0.99,1000,300,0,0,0,0,0,0,0,0,0,0,0
1,baseline,1,3,4.871016,1.961753,46.0,4.216,8,53.25,0.99,1000,300,0,0,0,0,0,0,0,0,0,0,0
1,baseline,2,0,4.439707,1.662199,47.0,1.646,8,46.88,0.99,1000,300,0,0,0,0,0,0,0,0,0,0,0
1,baseline,2,1,4.962408,2.254653,45.0,1.79,8,57.82,0.99,1000,300,0,0,0,0,0,0,0,0,0,0,0
1,baseline,2,2,4.999745,2.327855,47.0,2.151,9,60.47,0.99,1000,300,0,0,0,0,0,0,0,0,0,0,0
1,baseline,2,3,4.252445,1.961753,37.0,2.223,7,46.49,0.99,1000,300,0,0,0,0,0,0,0,0,0,0,0
1,baseline,3,0,5.250516,1.981232,46.0,2.985,9,55.44,0.99,1000,300,0,0,0,0,0,0,0,0,0,0,0
1,baseline,3,1,4.962408,2.630224,46.0,2.278,8,57.82,0.99,1000,300,0,0,0,0,0,0,0,0,0,0,0
1,baseline,3,2,4.999745,2.327855,47.0,3.487,9,60.47,0.99,1000,300,0,0,0,0,0,0,0,0,0,0,0
1,baseline,3,3,4.592325,2.301632,46.0,4.58,7,50.21,0.99,1000,300,0,0,0,0,0,0,0,0,0,0,0
1,baseline,4,0,5.255633,2.478126,48.0,4.339,9,55.49,0.99,1000,300,0,0,0,0,0,0,0,0,0,0,0
1,baseline,4,1,4.962408,2.254653,45.0,2.455,8,57.82,0.99,1000,300,0,0,0,0,0,0,0,0,0,0,0
1,baseline,4,2,4.248815,2.239233,47.0,3.463,8,51.39,0.99,1000,300,0,0,0,0,0,0,0,0,0,0,0
1,baseline,4,3,5.210895,2.301632,46.0,3.924,8,56.97,0.99,1000,300,0,0,0,0,0,0,0,0,0,0,0
1,baseline,5,0,4.89185,2.37279,47.0,1.855,9,51.65,0.99,1000,300,0,0,0,0,0,0,0,0,0,0,0
1,baseline,5,1,4.962408,2.254653,45.0,1.776,8,57.82,0.99,1000,300,0,0,0,0,0,0,0,0,0,0,0
1,baseline,5,2,4.999745,2.327855,47.0,2.962,9,60.47,0.99,1000,300,0,0,0,0,0,0,0,0,0,0,0
1,baseline,5,3,5.210895,2.301632,46.0,3.693,8,56.97,0.99,1000,300,0,0,0,0,0,0,0,0,0,0,0
1,baseline,6,0,4.561121,2.036826,48.0,2.317,8,48.16,0.99,1000,300,0,0,0,0,0,0,0,0,0,0,0
1,baseline,6,1,4.962408,2.254653,45.0,1.753,8,57.82,0.99,1000,300,0,0,0,0,0,0,0,0,0,0,0
1,baseline,6,2,4.696373,2.327855,47.0,2.546,9,56.8,0.99,1000,300,0,0,0,0,0,0,0,0,0,0,0
1,baseline,6,3,4.592325,2.301632,46.0,2.716,7,50.21,0.99,1000,300,0,0,0,0,0,0,0,0,0,0,0
1,baseline,7,0,5.250516,1.981232,46.0,2.138,9,55.44,0.99,1000,300,0,0,0,0,0,0,0,0,0,0,0
1,baseline,7,1,4.962408,2.254653,45.0,1.642,8,57.82,0.99,1000,300,0,0,0,0,0,0,0,0,0,0,0
1,baseline,7,2,4.999745,2.327855,47.0,3.507,9,60.47,0.99,1000,300,0,0,0,0,0,0,0,0,0,0,0
1,baseline,7,3,4.871016,1.961753,46.0,2.817,8,53.25,0.99,1000,300,0,0,0,0,0,0,0,0,0,0,0
1,baseline,8,0,4.976862,1.981232,47.0,2.7,8,52.55,0.99,1000,300,0,0,0,0,0,0,0,0,0,0,0
1,baseline,8,1,4.962408,2.254653,45.0,1.703,8,57.82,0.99,1000,300,0,0,0,0,0,0,0,0,0,0,0
1,baseline,8,2,4.999745,2.327855,47.0,2.641,9,60.47,0.99,1000,300,0,0,0,0,0,0,0,0,0,0,0
1,baseline,8,3,5.210895,2.301632,46.0,3.91,8,56.97,0.99,1000,300,0,0,0,0,0,0,0,0,0,0,0
1,baseline,9,0,5.250516,1.981232,46.0,1.957,9,55.44,0.99,1000,300,0,0,0,0,0,0,0,0,0,0,0
1,baseline,9,1,4.962408,2.254653,45.0,1.467,8,57.82,0.99,1000,300,0,0,0,0,0,0,0,0,0,0,0
1,baseline,9,2,4.248815,2.239233,47.0,1.082,8,51.39,0.99,1000,300,0,0,0,0,0,0,0,0,0,0,0
1,baseline,9,3,4.592325,2.301632,46.0,2.531,7,50.21,0.99,1000,300,0,0,0,0,0,0,0,0,0,0,0
